open_time,open,high,low,close,volume,num_trades,taker_base_vol
1602072000000,10600.41,10649.37,10592.0,10629.6,7530.662345,101595,3502.287752
1602086400000,10629.7,10681.87,10601.0,10650.34,5642.760486,88403,2727.858514
1602100800000,10650.9,10673.59,10641.0,10666.39,2987.596764,59042,1568.782791
1602115200000,10666.4,10670.89,10616.0,10639.8,3499.776665,50761,1661.752703
1602129600000,10639.8,10645.09,10563.01,10592.21,6005.750889,78051,2736.857771
1602144000000,10592.22,10630.18,10530.41,10606.17,6919.375667,88280,3398.172072
1602158400000,10606.17,10935.0,10593.51,10896.96,21365.835229,238225,11681.573436
1602172800000,10896.96,10945.0,10842.65,10878.83,9036.035488,116672,4446.577727
1602187200000,10878.82,10950.0,10860.0,10925.57,5132.917634,87302,2557.66582
1602201600000,10925.44,10940.85,10861.0,10887.19,4472.387737,69622,2152.187201
1602216000000,10887.18,10902.74,10829.0,10894.0,5055.182777,78357,2533.987446
1602230400000,10893.99,11100.0,10864.05,11050.43,12543.273101,160187,7141.523838
1602244800000,11050.44,11104.64,11035.86,11086.58,14404.303938,153684,7673.424962
1602259200000,11086.15,11100.0,11012.19,11034.28,6913.566896,100500,3543.494901
1602273600000,11034.28,11092.76,11015.0,11050.64,4851.358788,73331,2614.013048
1602288000000,11050.64,11491.0,11050.51,11412.96,13610.005755,182865,7609.07071
1602302400000,11412.96,11424.32,11266.0,11381.3,6632.412992,110104,3268.961369
1602316800000,11381.35,11394.33,11215.0,11317.46,7284.551577,117190,3728.337583
1602331200000,11317.47,11413.66,11284.63,11349.2,7446.863844,116739,4044.576483
1602345600000,11349.2,11374.39,11308.05,11351.09,4274.560256,83891,2023.558644
1602360000000,11351.09,11376.47,11262.25,11293.22,4399.642519,87772,2132.699862
1602374400000,11293.22,11395.8,11270.7,11332.0,4198.955407,77835,2123.795524
1602388800000,11332.01,11373.97,11301.0,11350.01,3295.769221,61546,1695.332163
1602403200000,11350.01,11410.0,11327.05,11372.5,5300.708362,84418,2715.440844
1602417600000,11372.51,11445.0,11336.17,11405.47,5761.177129,100496,2924.473397
1602432000000,11405.46,11430.0,11315.01,11334.02,5360.320944,94491,2573.127894
1602446400000,11334.03,11395.32,11221.0,11369.02,5126.920276,90928,2438.274447
